soc_code,occupation_title,task_id,task_description,onet_importance,onet_frequency,economic_index_label,eloundou_beta
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,3.7,2.7,unknown,0.0
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",3.51,2.44,unknown,0.5
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,3.9,2.91,augmentation,0.5
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,3.66,2.78,unknown,0.5
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,3.59,2.65,unknown,0.0
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,3.55,2.58,unknown,0.5
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",3.98,2.23,unknown,0.5
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",3.42,2.58,unknown,0.0
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",3.88,2.29,unknown,0.5
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",3.19,2.52,unknown,0.5
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,3.88,2.73,unknown,0.5
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,3.13,1.91,unknown,0.5
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",3.85,3.3,unknown,1.0
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",3.33,2.22,augmentation,1.0
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,4.22,5.52,unknown,0.0
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,3.33,1.83,unknown,1.0
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",3.48,2.56,unknown,0.5
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,3.74,2.93,augmentation,0.5
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",3.74,3.26,augmentation,0.5
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",3.52,2.92,unknown,0.5
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",4.04,2.81,augmentation,0.5
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",4.33,3.41,unknown,0.5
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",3.93,3.3,augmentation,0.5
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,3.52,2.44,unknown,0.5
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,4.38,3.08,unknown,0.5
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,3.65,2.78,unknown,0.5
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",4.37,3.96,unknown,0.5
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",3.1,2.79,unknown,0.5
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",4.18,4.15,augmentation,0.5
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,4.01,4.68,unknown,0.5
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,3.98,4.71,unknown,0.5
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,3.44,3.22,unknown,0.5
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",3.9,3.3,unknown,0.5
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",3.74,3.35,unknown,0.5
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",3.79,3.22,unknown,0.5
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",3.83,4.24,unknown,0.5
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",4.01,4.54,unknown,0.5
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",4.03,4.68,unknown,0.5
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",4.14,4.88,unknown,0.5
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",3.87,4.81,unknown,0.0
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",3.57,2.9,none,0.5
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",3.53,3.95,unknown,0.5
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",2.79,1.85,unknown,0.5
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,2.92,2.84,unknown,0.5
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",3.89,4.04,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,3.67,2.68,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",4.13,4.2,augmentation,0.5
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",4.07,4.07,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",3.84,4.34,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,3.81,3.18,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",3.55,3.69,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",3.9,4.34,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,3.59,3.37,augmentation,0.5
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",3.25,3.59,none,0.5
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,3.68,3.65,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,3.5,3.58,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",3.81,4.06,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,3.81,3.95,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",3.54,3.23,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",3.61,3.42,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,3.62,3.81,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,3.87,3.35,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,3.61,3.9,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,3.35,3.01,unknown,0.5
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,3.43,2.15,augmentation,0.0
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,3.41,2.79,unknown,0.5
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,2.68,1.86,unknown,0.5
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",2.59,1.95,augmentation,0.5
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",3.12,2.51,none,0.5
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",4.24,4.66,augmentation,0.5
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",3.87,3.27,augmentation,0.5
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",4.3,4.21,augmentation,0.5
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",3.99,3.47,none,0.5
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",3.66,3.36,unknown,0.0
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",3.53,2.46,unknown,0.5
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",3.65,3.28,unknown,0.5
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,3.7,3.41,none,1.0
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",3.56,3.11,unknown,0.5
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,2.7,2.15,unknown,0.5
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",3.14,1.98,augmentation,0.5
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",3.41,2.85,unknown,0.5
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",3.06,2.63,augmentation,0.5
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",3.4,2.65,unknown,0.5
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,3.41,2.79,unknown,0.5
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,3.17,2.24,unknown,0.5
11-2022.00,Sales Managers,1,Resolve customer complaints regarding sales and service.,4.09,3.91,augmentation,0.5
11-2022.00,Sales Managers,10,Represent company at trade association meetings to promote products.,3.14,2.24,augmentation,0.0
11-2022.00,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",3.5,2.41,unknown,0.5
11-2022.00,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,3.44,2.89,unknown,0.0
11-2022.00,Sales Managers,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",4.07,3.87,unknown,0.5
11-2022.00,Sales Managers,14,Oversee regional and local sales managers and their staffs.,3.7,4.2,unknown,0.5
11-2022.00,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",3.38,3.71,unknown,0.5
11-2022.00,Sales Managers,16,Direct foreign sales and service outlets of an organization.,3.14,2.5,unknown,0.5
11-2022.00,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",3.55,3.0,unknown,0.5
11-2022.00,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,3.57,3.18,unknown,0.5
11-2022.00,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",4.22,5.39,unknown,0.5
11-2022.00,Sales Managers,4,Determine price schedules and discount rates.,3.61,3.22,augmentation,0.5
11-2022.00,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,3.95,3.45,none,0.5
11-2022.00,Sales Managers,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",3.48,3.9,unknown,0.5
11-2022.00,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,3.25,2.81,unknown,0.5
11-2022.00,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,3.26,3.11,unknown,0.5
11-2022.00,Sales Managers,9,Prepare budgets and approve budget expenditures.,3.59,2.52,none,0.5
11-3012.00,Administrative Services Managers,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",3.92,4.63,unknown,0.5
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,3.7,3.18,unknown,0.5
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,3.71,3.67,unknown,0.5
11-3012.00,Administrative Services Managers,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",3.33,3.0,unknown,0.5
11-3012.00,Administrative Services Managers,23,"Acquire, distribute and store supplies.",3.38,3.78,unknown,0.0
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",4.06,3.84,unknown,0.5
11-3012.00,Administrative Services Managers,26,Hire and terminate clerical and administrative personnel.,3.95,1.81,unknown,0.5
11-3012.00,Administrative Services Managers,30,Conduct classes to teach procedures to staff.,3.19,2.03,unknown,0.0
11-3013.00,Facilities Managers,21272,"Acquire, distribute and store supplies.",3.47,3.71,unknown,0.5
11-3013.00,Facilities Managers,21273,Conduct classes to teach procedures to staff.,3.92,2.51,unknown,0.0
11-3013.00,Facilities Managers,21274,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",3.04,2.5,unknown,0.0
11-3013.00,Facilities Managers,21275,Manage leasing of facility space.,3.62,2.02,unknown,0.5
11-3013.00,Facilities Managers,21276,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",4.55,5.33,unknown,0.0
11-3013.00,Facilities Managers,21277,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",4.21,2.9,unknown,0.5
11-3013.00,Facilities Managers,21278,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",4.5,4.88,unknown,0.0
11-3013.00,Facilities Managers,21279,"Participate in architectural and engineering planning and design, including space and installation management.",4.04,2.81,unknown,0.5
11-3013.00,Facilities Managers,21280,"Plan, administer, and control budgets for contracts, equipment, and supplies.",4.09,3.25,unknown,0.5
11-3013.00,Facilities Managers,21281,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,3.72,3.75,unknown,0.5
11-3013.00,Facilities Managers,21282,Set goals and deadlines for the department.,3.98,4.01,unknown,0.5
11-3021.00,Computer and Information Systems Managers,15198,Provide users with technical support for computer problems.,3.99,4.76,none,0.5
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",4.19,4.78,unknown,0.5
11-3021.00,Computer and Information Systems Managers,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",3.85,3.61,augmentation,0.5
11-3021.00,Computer and Information Systems Managers,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",4.11,4.35,unknown,0.5
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",4.04,4.61,unknown,1.0
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,3.88,3.85,unknown,0.5
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",3.94,3.27,none,0.5
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,3.68,3.39,unknown,1.0
11-3021.00,Computer and Information Systems Managers,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",3.7,3.23,augmentation,0.5
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,3.53,3.05,unknown,0.5
11-3021.00,Computer and Information Systems Managers,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",4.1,3.88,unknown,0.0
11-3021.00,Computer and Information Systems Managers,976,"Develop and interpret organizational goals, policies, and procedures.",3.7,3.4,augmentation,0.5
11-3021.00,Computer and Information Systems Managers,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",3.88,2.72,unknown,0.5
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,4.08,3.9,none,0.5
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,3.59,3.05,unknown,0.5
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,3.63,3.9,none,0.5
11-3021.00,Computer and Information Systems Managers,981,Purchase necessary equipment.,3.39,2.71,unknown,0.5
11-3031.00,Financial Managers,21311,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,4.3,5.18,none,0.5
11-3031.00,Financial Managers,21312,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",4.13,4.72,unknown,0.5
11-3031.00,Financial Managers,21313,Recruit staff members.,3.78,1.67,unknown,0.5
11-3031.00,Financial Managers,21314,Prepare operational or risk reports for management analysis.,3.65,3.14,none,0.5
11-3031.00,Financial Managers,21315,Evaluate data pertaining to costs to plan budgets.,3.61,2.88,unknown,0.5
11-3031.00,Financial Managers,21316,Oversee training programs.,3.47,2.46,unknown,0.5
11-3031.00,Financial Managers,21317,"Examine, evaluate, or process loan applications.",3.98,4.56,automation,0.5
11-3031.00,Financial Managers,21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",4.09,3.8,unknown,0.5
11-3031.00,Financial Managers,21319,Oversee the flow of cash or financial instruments.,4.2,4.57,none,0.5
11-3031.00,Financial Managers,21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",4.04,3.15,none,0.5
11-3031.00,Financial Managers,21321,Develop or analyze information to assess the current or future financial status of firms.,4.14,4.47,augmentation,0.5
11-3031.00,Financial Managers,21322,Communicate with stockholders or other investors to provide information or to raise capital.,4.24,3.09,unknown,0.5
11-3031.00,Financial Managers,21323,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",3.82,3.21,augmentation,0.5
11-3031.00,Financial Managers,21325,Network within communities to find and attract new business.,3.76,3.86,unknown,0.0
11-3031.00,Financial Managers,21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.,3.61,3.82,augmentation,0.5
11-3031.00,Financial Managers,21327,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",4.38,3.2,unknown,0.5
11-3031.00,Financial Managers,21329,Review reports of securities transactions or price lists to analyze market conditions.,3.18,2.86,augmentation,0.5
11-3031.01,Treasurers and Controllers,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",4.4,4.12,unknown,0.5
11-3031.01,Treasurers and Controllers,20169,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.",3.75,2.5,unknown,0.5
11-3031.01,Treasurers and Controllers,8855,Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.,4.45,1.82,unknown,0.5
11-3031.01,Treasurers and Controllers,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",4.14,2.59,none,0.5
11-3031.01,Treasurers and Controllers,8857,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",4.33,4.53,unknown,0.5
11-3031.01,Treasurers and Controllers,8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",4.48,4.24,none,0.5
11-3031.01,Treasurers and Controllers,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",4.0,2.79,augmentation,0.5
11-3031.01,Treasurers and Controllers,8860,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,4.06,2.21,unknown,0.5
11-3031.01,Treasurers and Controllers,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",4.33,5.17,automation,0.5
11-3031.01,Treasurers and Controllers,8863,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",4.09,2.83,unknown,0.5
11-3031.01,Treasurers and Controllers,8864,"Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.",4.44,3.72,unknown,0.5
11-3031.01,Treasurers and Controllers,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",4.22,2.78,unknown,0.5
11-3031.01,Treasurers and Controllers,8866,"Develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting.",4.25,2.08,unknown,0.5
11-3031.01,Treasurers and Controllers,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",4.08,2.88,augmentation,0.5
11-3031.01,Treasurers and Controllers,8868,"Advise management on short-term and long-term financial objectives, policies, and actions.",4.0,2.92,augmentation,0.5
11-3031.01,Treasurers and Controllers,8869,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,3.9,3.25,none,0.5
11-3031.01,Treasurers and Controllers,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,4.52,3.83,unknown,0.5
11-3031.01,Treasurers and Controllers,8871,Lead staff training and development in budgeting and financial management areas.,3.71,2.35,unknown,0.5
11-3031.01,Treasurers and Controllers,8872,Receive cash and checks and make deposits.,4.2,4.4,unknown,0.0
11-3031.01,Treasurers and Controllers,8873,"Compute, withhold, and account for all payroll deductions.",4.0,3.71,unknown,0.5
11-3031.01,Treasurers and Controllers,8874,Perform tax planning work.,4.14,2.0,unknown,0.5
11-3031.01,Treasurers and Controllers,8875,"Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items.",3.0,1.73,unknown,0.5
11-3031.03,Investment Fund Managers,15660,Prepare for and respond to regulatory inquiries.,3.99,2.05,unknown,0.5
11-3031.03,Investment Fund Managers,15661,Verify regulatory compliance of transaction reporting.,3.7,2.86,unknown,0.5
11-3031.03,Investment Fund Managers,15662,Hire or evaluate staff.,3.76,1.75,unknown,0.5
11-3031.03,Investment Fund Managers,15663,Direct activities of accounting or operations departments.,3.47,3.3,unknown,0.5
11-3031.03,Investment Fund Managers,15664,"Develop, implement, or monitor security valuation policies.",4.22,3.99,augmentation,0.5
11-3031.03,Investment Fund Managers,15665,Attend investment briefings or consult financial media to stay abreast of relevant investment markets.,4.05,4.25,none,0.5
11-3031.03,Investment Fund Managers,15666,Review offering documents or marketing materials to ensure regulatory compliance.,3.58,2.73,unknown,0.5
11-3031.03,Investment Fund Managers,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",4.38,5.05,augmentation,0.5
11-3031.03,Investment Fund Managers,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",4.23,3.83,augmentation,0.5
11-3031.03,Investment Fund Managers,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,4.56,4.96,none,0.5
11-3031.03,Investment Fund Managers,15670,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,3.72,2.79,unknown,0.5
