soc_code,artistic,conventional,enterprising,investigative,realistic,social
17-2199.05,2.42,4.92,1.6,5.67,5.86,1.46
17-2199.06,1.94,4.87,1.31,6.26,5.62,1.37
17-2199.07,2.73,4.12,1.72,5.91,5.82,1.4
17-2199.08,1.81,4.57,1.74,5.79,6.1,1.43
17-2199.09,2.43,4.08,2.52,6.09,5.38,1.36
17-2199.10,2.22,4.12,3.12,4.54,5.9,1.43
17-2199.11,2.11,3.96,3.05,5.02,5.97,1.9
17-3011.00,4.49,4.9,1.52,4.22,5.46,1.53
17-3012.00,3.28,5.31,1.92,3.55,5.54,1.32
17-3013.00,3.8,4.8,1.23,3.89,5.95,1.23
17-3021.00,1.0,5.21,1.41,5.08,6.45,1.0
17-3022.00,2.61,5.33,1.92,5.46,5.82,1.55
17-3023.00,1.76,5.0,1.32,5.2,6.24,1.79
17-3024.00,1.38,4.58,1.0,4.38,7.0,1.0
17-3024.01,1.0,4.49,1.04,4.08,6.98,1.09
17-3025.00,1.73,5.08,1.25,5.91,6.21,1.5
17-3026.00,1.19,5.22,2.39,5.14,5.38,1.45
17-3026.01,1.45,4.71,1.98,5.05,6.23,1.05
17-3027.00,1.98,4.82,1.04,5.57,6.38,1.15
17-3027.01,1.39,4.63,1.32,5.33,7.0,1.0
17-3028.00,1.15,5.54,1.0,4.14,6.31,1.58
17-3029.01,1.25,4.83,1.0,5.05,6.16,1.47
17-3029.08,1.06,5.12,1.0,4.26,7.0,1.0
17-3031.00,1.91,5.62,1.0,4.03,5.95,1.0
19-1011.00,2.05,3.34,2.22,6.95,5.25,2.06
19-1012.00,2.46,3.96,2.54,5.69,5.09,2.14
19-1013.00,2.11,3.41,1.72,6.72,6.43,1.68
19-1021.00,2.61,3.61,1.82,7.0,5.1,2.16
19-1022.00,1.84,3.9,1.19,7.0,5.34,2.12
19-1023.00,2.24,3.69,2.48,7.0,5.32,2.57
19-1029.01,2.56,5.03,1.27,7.0,3.74,1.63
19-1029.02,2.1,4.97,2.34,6.67,5.0,2.25
19-1029.03,3.04,4.41,1.69,7.0,3.95,2.96
19-1029.04,2.32,4.5,2.93,6.97,4.15,2.56
19-1031.00,1.97,4.0,3.18,5.7,5.16,2.88
19-1031.02,1.45,3.83,4.43,4.9,5.7,2.51
19-1031.03,4.1,3.06,3.38,4.51,4.23,4.85
19-1032.00,1.24,4.31,3.78,4.4,5.32,2.41
19-1041.00,2.02,3.67,2.48,7.0,3.18,4.03
19-1042.00,2.3,3.95,2.23,7.0,4.43,3.24
19-2011.00,3.24,3.97,1.99,7.0,4.85,2.81
19-2012.00,2.76,4.86,1.82,7.0,4.95,2.11
19-2021.00,2.72,4.48,2.69,6.35,4.82,2.45
19-2031.00,1.5,4.95,1.6,6.66,5.66,1.15
19-2032.00,2.18,4.16,1.9,6.61,5.77,1.35
19-2041.00,1.79,4.44,2.58,7.0,4.7,2.62
19-2041.01,3.11,4.06,4.69,6.73,1.37,3.17
19-2041.02,2.24,4.13,3.63,6.25,5.31,2.12
19-2041.03,2.14,3.98,3.04,7.0,4.62,1.95
19-2042.00,2.7,4.16,1.67,7.0,5.66,2.23
19-2043.00,1.86,4.35,2.17,6.53,5.71,2.16
19-2099.01,1.87,4.84,1.49,6.04,4.84,1.31
19-3011.00,2.49,4.34,3.8,7.0,1.54,2.22
19-3011.01,2.53,4.08,4.11,7.0,2.74,2.28
19-3022.00,2.11,5.46,3.05,6.1,1.7,2.31
19-3032.00,3.26,4.04,4.65,5.32,1.11,4.18
19-3033.00,3.02,3.55,2.67,5.5,1.07,6.57
19-3034.00,3.31,4.01,2.82,5.0,1.0,6.77
19-3039.02,3.26,3.24,1.8,7.0,2.67,5.28
19-3039.03,2.4,3.45,2.11,7.0,2.86,5.72
19-3041.00,3.96,3.57,3.08,6.43,1.61,4.42
19-3051.00,2.96,3.95,4.53,5.38,3.16,3.0
19-3091.00,3.89,3.54,1.56,6.74,4.55,3.32
19-3092.00,3.7,3.71,2.15,6.73,5.19,2.69
19-3093.00,3.61,4.97,2.4,5.19,2.42,3.21
19-3094.00,3.78,3.6,3.7,6.62,1.0,3.47
19-3099.01,2.18,4.69,3.21,5.5,3.2,2.05
19-4012.00,1.0,4.64,1.8,4.96,6.28,1.56
19-4012.01,1.17,4.82,2.15,5.5,6.55,1.44
19-4013.00,1.37,5.07,1.8,4.55,5.56,1.67
19-4021.00,1.24,5.37,1.18,5.57,5.6,1.98
19-4031.00,1.57,5.07,1.02,5.88,5.44,1.72
19-4042.00,1.13,4.91,1.47,5.57,5.53,2.07
19-4043.00,1.28,5.34,1.11,5.18,5.59,1.47
19-4044.00,1.0,5.33,1.41,4.96,5.55,1.53
19-4051.00,1.0,5.07,2.26,4.57,5.75,1.83
19-4051.02,1.0,5.52,1.67,4.32,6.12,1.85
19-4061.00,2.05,5.78,2.35,6.0,2.48,2.76
19-4071.00,1.0,4.7,2.46,4.39,6.53,2.82
19-4092.00,1.8,5.04,1.71,6.11,5.03,1.69
19-4099.01,1.12,5.83,2.42,4.96,4.06,1.19
19-4099.03,2.03,5.16,1.67,4.67,5.16,1.47
19-5011.00,1.2,4.81,3.11,4.99,4.62,3.37
19-5012.00,1.0,5.29,2.74,4.92,5.37,3.01
21-1011.00,2.37,3.65,2.73,3.8,1.62,6.65
21-1012.00,3.42,3.38,4.21,3.31,1.0,7.0
21-1013.00,3.58,2.83,1.86,5.25,1.49,6.32
21-1014.00,3.06,3.45,2.91,4.44,1.32,6.76
21-1015.00,2.99,3.26,3.56,3.26,1.23,6.81
21-1021.00,2.9,3.57,2.93,3.32,1.7,6.85
21-1022.00,2.33,3.06,2.53,4.24,1.97,6.92
21-1023.00,2.78,3.05,2.42,4.08,1.72,6.96
21-1091.00,2.53,3.98,3.2,5.3,1.64,6.16
21-1092.00,2.2,4.11,3.9,3.47,2.24,5.63
21-1093.00,1.97,4.55,3.59,2.8,1.26,6.1
21-1094.00,2.24,3.36,3.5,3.49,1.94,6.58
21-2011.00,3.48,2.83,4.18,2.14,2.11,5.88
21-2021.00,3.43,3.22,6.05,2.84,1.0,6.98
23-1011.00,2.32,4.54,5.54,4.52,1.17,3.45
23-1012.00,2.27,5.03,4.39,4.3,1.63,3.15
23-1021.00,1.57,5.39,5.24,4.01,1.04,3.04
23-1022.00,2.31,4.32,4.97,3.87,1.0,4.24
23-1023.00,2.21,4.11,5.25,3.75,2.37,4.0
23-2011.00,2.04,5.49,4.21,4.56,1.71,3.28
23-2093.00,1.16,6.69,3.38,2.67,2.41,2.32
25-1011.00,3.2,3.77,3.81,4.84,1.99,6.43
25-1021.00,3.21,4.12,2.25,5.66,3.15,5.8
25-1022.00,3.07,4.44,1.96,5.8,2.84,6.17
25-1031.00,4.43,3.33,2.51,5.13,3.38,6.71
25-1032.00,3.16,3.44,2.0,5.39,4.84,5.76
25-1041.00,2.87,3.41,2.63,5.37,4.07,6.2
25-1042.00,3.31,3.61,2.03,5.91,3.99,6.22
25-1043.00,3.04,3.51,2.37,5.79,4.02,6.54
25-1051.00,3.13,3.84,2.32,5.55,3.94,6.59
25-1052.00,2.96,3.77,2.08,5.82,4.05,5.72
25-1053.00,3.4,3.58,2.36,6.25,3.76,6.28
25-1054.00,3.21,3.92,2.36,5.87,3.75,6.01
25-1061.00,3.52,3.47,2.39,6.02,3.61,6.55
25-1062.00,3.84,2.98,2.99,5.26,2.98,7.0
25-1063.00,3.06,3.88,3.39,5.53,2.71,6.22
25-1064.00,3.66,3.69,2.53,5.76,3.43,6.66
25-1065.00,3.61,3.16,3.21,5.46,2.11,6.75
25-1066.00,3.85,3.26,2.37,5.56,2.13,7.0
25-1067.00,3.57,3.41,2.56,5.57,2.53,6.66
25-1071.00,2.93,3.71,1.87,5.49,3.48,6.97
25-1072.00,3.29,3.35,2.15,4.84,3.01,7.0
25-1081.00,3.52,3.54,2.63,4.91,2.69,7.0
25-1082.00,3.41,3.94,2.29,5.47,2.76,6.35
25-1111.00,3.24,3.66,3.44,4.89,2.6,6.83
25-1112.00,3.43,3.76,3.52,5.31,2.32,6.49
25-1113.00,3.65,3.42,2.88,4.94,2.32,7.0
25-1121.00,5.86,2.43,2.12,4.1,3.2,6.93
25-1122.00,3.9,3.36,3.19,4.59,2.03,7.0
25-1123.00,4.19,3.55,2.41,4.76,2.35,7.0
25-1124.00,3.99,3.7,2.57,4.42,2.12,7.0
25-1125.00,3.89,3.57,2.5,5.41,2.87,6.89
25-1126.00,3.77,3.29,2.82,5.14,2.44,7.0
25-1192.00,3.44,3.53,2.71,4.91,3.02,7.0
25-1193.00,3.43,3.43,2.51,4.78,3.17,7.0
25-1194.00,3.14,3.29,2.1,4.15,3.75,6.61
25-2011.00,4.06,3.59,2.63,2.77,2.71,7.0
25-2012.00,4.0,3.73,2.46,3.15,2.59,7.0
25-2021.00,3.99,3.53,2.57,3.38,2.55,7.0
25-2022.00,3.98,3.6,2.55,3.31,2.64,7.0
25-2023.00,3.64,3.57,2.2,3.41,2.77,7.0
25-2031.00,3.71,3.63,2.75,3.23,2.85,7.0
25-2032.00,3.62,3.48,2.71,3.34,2.83,7.0
25-2051.00,3.85,3.28,1.72,3.66,2.42,7.0
25-2055.00,3.64,3.69,1.75,3.8,2.55,7.0
25-2056.00,3.62,3.46,1.79,3.95,2.34,7.0
25-2057.00,3.88,3.37,1.8,3.89,2.43,7.0
25-2058.00,3.75,3.24,1.95,3.86,2.61,7.0
25-2059.01,2.63,3.59,1.79,3.62,4.36,7.0
25-3011.00,3.73,3.47,2.93,3.12,2.44,7.0
25-3021.00,4.14,2.99,3.18,2.95,2.61,7.0
25-3031.00,3.04,3.72,2.45,2.61,2.61,6.77
25-3041.00,3.24,3.31,1.64,3.27,2.26,6.5
25-4011.00,2.95,6.02,1.92,4.58,2.78,3.1
25-4012.00,3.43,4.8,3.85,3.43,2.68,3.68
25-4013.00,3.14,4.58,1.51,3.21,5.67,2.64
25-4022.00,2.65,5.83,2.76,3.62,2.33,4.04
25-4031.00,1.6,6.51,1.87,2.69,3.07,4.07
25-9021.00,2.31,3.18,3.49,4.28,3.96,4.83
25-9031.00,3.48,4.03,4.25,3.98,1.69,6.16
25-9042.00,2.29,4.7,2.6,2.39,2.76,6.41
25-9043.00,2.67,4.16,2.4,2.96,2.52,6.93
25-9044.00,2.17,4.65,2.79,3.24,2.06,6.76
27-1011.00,7.0,3.82,5.31,2.7,3.02,2.8
27-1012.00,6.0,2.55,2.9,1.88,5.86,1.72
27-1013.00,7.0,2.34,2.37,2.68,4.06,2.27
27-1014.00,7.0,3.22,2.71,2.8,3.72,2.11
27-1021.00,5.55,3.48,3.69,4.05,4.64,1.84
27-1022.00,7.0,2.91,3.97,2.17,4.32,2.33
27-1023.00,4.4,3.93,3.79,1.72,5.13,2.46
27-1024.00,7.0,3.78,3.61,2.83,3.2,2.31
27-1025.00,5.67,3.73,3.34,3.18,4.43,2.79
27-1026.00,4.85,3.0,4.21,1.61,4.44,2.21
27-1027.00,7.0,3.28,3.91,2.85,3.56,3.08
27-2011.00,7.0,1.67,4.0,2.13,2.31,4.1
27-2012.00,6.15,3.55,5.78,2.23,2.14,3.13
27-2012.03,3.92,4.74,6.75,2.22,1.28,3.71
27-2012.04,5.73,3.51,5.98,1.41,1.25,4.33
27-2012.05,3.49,4.35,4.94,2.72,3.93,2.55
27-2021.00,2.22,2.88,4.51,1.58,5.0,4.38
27-2022.00,2.43,3.44,5.13,2.15,4.26,5.31
27-2023.00,1.09,4.64,5.69,1.65,4.38,3.34
27-2031.00,6.32,1.66,3.25,1.4,4.78,3.68
27-2032.00,7.0,1.88,3.8,2.08,3.67,4.08
27-2041.00,7.0,2.59,4.77,2.28,2.04,3.06
27-2042.00,6.66,2.17,3.41,1.53,2.87,3.4
27-2091.00,4.83,3.5,3.62,1.53,2.94,2.96
27-3011.00,5.55,3.15,4.48,1.98,1.72,3.5
27-3023.00,5.09,3.63,3.96,4.16,1.47,2.8
27-3031.00,4.72,3.47,5.81,2.79,1.0,3.94
27-3041.00,5.16,4.85,4.03,3.11,1.0,2.51
27-3042.00,4.22,5.33,1.99,3.7,2.81,2.0
27-3043.00,6.93,3.18,4.8,3.26,1.0,2.84
27-3043.05,7.0,2.84,3.09,3.83,1.37,2.75
27-3091.00,4.4,4.64,1.88,3.16,1.89,3.51
27-3092.00,2.96,5.61,2.67,2.11,2.24,2.88
27-4011.00,3.25,4.58,1.88,2.75,5.17,1.98
27-4012.00,2.79,4.98,2.44,3.1,4.94,2.14
27-4014.00,4.44,4.26,1.92,2.6,5.04,1.79
27-4015.00,2.39,4.07,1.91,2.02,6.99,1.18
27-4021.00,5.18,3.43,2.3,2.29,5.49,1.85
27-4031.00,5.25,3.5,2.34,1.97,4.77,1.84
27-4032.00,5.45,3.99,2.98,1.97,3.27,1.87
29-1011.00,1.35,3.53,2.23,5.06,5.19,5.73
29-1021.00,1.15,3.85,1.95,5.4,5.31,4.27
29-1022.00,1.22,3.63,2.2,5.91,5.6,4.47
29-1023.00,1.67,4.75,1.28,5.84,5.8,3.94
29-1024.00,1.68,3.41,1.56,5.63,6.16,4.45
29-1031.00,2.4,3.36,3.42,4.8,3.03,5.5
29-1041.00,1.6,3.92,2.27,5.78,4.8,5.02
29-1051.00,1.48,4.68,2.53,5.65,2.88,4.81
29-1071.00,1.23,4.56,2.07,4.98,3.79,5.81
29-1071.01,1.0,4.76,1.87,4.71,4.55,5.0
29-1081.00,1.77,3.17,2.17,5.69,5.22,5.06
29-1122.00,3.05,3.06,1.81,4.34,3.48,6.13
29-1122.01,3.2,2.83,2.12,3.89,3.93,6.52
29-1123.00,2.17,3.08,2.49,4.87,4.34,5.91
29-1124.00,1.23,4.52,1.73,4.64,4.88,4.75
29-1125.00,3.03,2.5,2.52,4.17,3.82,6.86
29-1126.00,1.0,3.84,1.72,4.81,4.92,5.05
29-1127.00,2.97,4.03,1.43,5.63,2.69,5.91
29-1128.00,1.68,3.52,3.07,4.87,5.06,4.82
29-1129.01,5.81,2.49,2.33,3.37,2.98,5.86
29-1129.02,5.16,2.88,2.56,3.86,2.16,5.52
29-1131.00,1.0,3.52,1.71,5.94,5.97,3.43
29-1141.00,1.31,4.58,2.28,4.82,3.66,5.62
29-1141.01,1.48,3.49,1.62,5.41,4.04,5.87
29-1141.02,2.62,3.84,1.83,5.92,2.74,5.89
29-1141.03,1.58,3.92,2.07,5.07,4.1,5.5
29-1141.04,1.71,4.21,3.92,4.97,2.42,6.09
29-1151.00,1.0,4.25,1.92,4.94,5.0,5.18
29-1161.00,1.91,3.41,2.92,4.33,3.42,5.85
29-1171.00,1.31,4.28,2.13,5.52,3.67,5.36
29-1181.00,2.13,4.16,1.61,6.03,4.09,5.76
29-1211.00,1.13,3.95,2.48,5.77,5.13,5.22
29-1212.00,1.16,4.01,2.3,6.86,4.97,4.73
29-1213.00,1.76,3.65,1.76,6.29,5.55,4.29
29-1214.00,1.0,4.18,2.74,5.64,4.18,5.56
29-1215.00,1.45,3.95,2.34,6.08,3.75,6.21
29-1216.00,1.42,3.66,2.11,6.83,4.38,6.13
29-1217.00,2.09,3.63,2.42,7.0,3.91,5.32
29-1218.00,1.34,4.14,2.61,5.41,4.57,5.4
29-1221.00,1.77,3.53,2.49,6.2,3.76,6.63
29-1222.00,1.2,4.57,1.4,7.0,5.36,3.46
29-1223.00,2.72,3.9,2.12,6.37,2.14,5.98
29-1224.00,1.19,4.8,2.14,6.6,4.76,3.91
29-1229.01,1.68,3.54,2.23,6.92,4.09,5.1
29-1229.02,1.55,4.15,3.14,4.68,3.63,6.05
29-1229.03,1.23,3.42,2.31,6.9,5.16,5.16
29-1229.04,2.02,2.98,1.71,6.36,4.55,5.97
29-1229.05,1.84,3.34,2.36,6.82,3.28,5.39
29-1229.06,1.26,3.48,3.29,5.49,5.07,5.26
29-1241.00,1.62,3.72,2.86,6.33,4.78,5.28
29-1242.00,1.48,3.89,2.35,6.5,5.07,4.82
29-1243.00,1.55,3.91,2.43,6.52,4.95,4.99
29-1291.00,2.12,3.11,1.77,5.32,4.6,5.7
29-1292.00,1.18,4.29,1.67,4.68,5.14,5.46
29-1299.01,1.92,3.58,1.99,5.93,4.14,5.78
29-1299.02,2.06,3.81,1.64,5.57,4.68,4.65
29-2011.00,1.11,4.99,1.55,6.17,5.78,2.8
29-2011.01,1.47,5.07,1.55,5.96,5.37,1.89
29-2011.02,1.15,4.87,1.77,6.11,5.86,2.54
29-2011.04,1.21,5.21,1.07,6.62,5.79,2.78
29-2012.00,1.0,4.86,1.0,5.87,6.02,2.86
29-2012.01,1.27,5.12,1.0,5.4,6.45,2.13
29-2031.00,1.0,4.62,1.33,5.39,5.51,4.27
29-2032.00,1.17,5.14,1.51,4.71,5.96,4.15
29-2033.00,1.0,5.2,1.31,5.57,5.99,3.08
29-2034.00,1.0,4.87,1.0,4.63,6.25,3.58
29-2035.00,1.0,4.93,1.24,4.71,5.41,3.42
29-2036.00,1.38,4.94,2.12,5.24,4.47,3.68
29-2042.00,1.0,3.82,1.54,4.55,5.45,5.59
29-2043.00,1.0,3.44,1.85,5.04,5.24,5.47
